CustomerID,FirstName,LastName,Email,Region,NPSScore
1,FirstName1,LastName1,customer1@example.com,East,3
2,FirstName2,LastName2,customer2@example.com,North,7
3,FirstName3,LastName3,customer3@example.com,North,9
4,FirstName4,LastName4,customer4@example.com,West,6
5,FirstName5,LastName5,customer5@example.com,South,7
6,FirstName6,LastName6,customer6@example.com,West,7
7,FirstName7,LastName7,customer7@example.com,North,1
8,FirstName8,LastName8,customer8@example.com,East,10
9,FirstName9,LastName9,customer9@example.com,North,5
10,FirstName10,LastName10,customer10@example.com,East,1
11,FirstName11,LastName11,customer11@example.com,East,7
12,FirstName12,LastName12,customer12@example.com,North,2
13,FirstName13,LastName13,customer13@example.com,West,5
14,FirstName14,LastName14,customer14@example.com,East,1
15,FirstName15,LastName15,customer15@example.com,North,1
16,FirstName16,LastName16,customer16@example.com,West,10
17,FirstName17,LastName17,customer17@example.com,East,9
18,FirstName18,LastName18,customer18@example.com,West,1
19,FirstName19,LastName19,customer19@example.com,East,9
20,FirstName20,LastName20,customer20@example.com,South,8
21,FirstName21,LastName21,customer21@example.com,West,8
22,FirstName22,LastName22,customer22@example.com,West,4
23,FirstName23,LastName23,customer23@example.com,North,6
24,FirstName24,LastName24,customer24@example.com,West,7
25,FirstName25,LastName25,customer25@example.com,North,6
26,FirstName26,LastName26,customer26@example.com,North,4
27,FirstName27,LastName27,customer27@example.com,West,4
28,FirstName28,LastName28,customer28@example.com,North,3
29,FirstName29,LastName29,customer29@example.com,West,4
30,FirstName30,LastName30,customer30@example.com,East,5
31,FirstName31,LastName31,customer31@example.com,East,9
32,FirstName32,LastName32,customer32@example.com,East,1
33,FirstName33,LastName33,customer33@example.com,East,7
34,FirstName34,LastName34,customer34@example.com,West,10
35,FirstName35,LastName35,customer35@example.com,South,8
36,FirstName36,LastName36,customer36@example.com,North,10
37,FirstName37,LastName37,customer37@example.com,East,2
38,FirstName38,LastName38,customer38@example.com,West,3
39,FirstName39,LastName39,customer39@example.com,East,8
40,FirstName40,LastName40,customer40@example.com,South,7
41,FirstName41,LastName41,customer41@example.com,West,10
42,FirstName42,LastName42,customer42@example.com,East,1
43,FirstName43,LastName43,customer43@example.com,East,5
44,FirstName44,LastName44,customer44@example.com,North,4
45,FirstName45,LastName45,customer45@example.com,South,9
46,FirstName46,LastName46,customer46@example.com,West,6
47,FirstName47,LastName47,customer47@example.com,East,7
48,FirstName48,LastName48,customer48@example.com,North,8
49,FirstName49,LastName49,customer49@example.com,North,2
50,FirstName50,LastName50,customer50@example.com,West,8
51,FirstName51,LastName51,customer51@example.com,West,2
52,FirstName52,LastName52,customer52@example.com,West,2
53,FirstName53,LastName53,customer53@example.com,North,5
54,FirstName54,LastName54,customer54@example.com,North,4
55,FirstName55,LastName55,customer55@example.com,South,2
56,FirstName56,LastName56,customer56@example.com,South,7
57,FirstName57,LastName57,customer57@example.com,West,1
58,FirstName58,LastName58,customer58@example.com,North,5
59,FirstName59,LastName59,customer59@example.com,West,10
60,FirstName60,LastName60,customer60@example.com,South,5
61,FirstName61,LastName61,customer61@example.com,East,1
62,FirstName62,LastName62,customer62@example.com,North,6
63,FirstName63,LastName63,customer63@example.com,South,6
64,FirstName64,LastName64,customer64@example.com,South,9
65,FirstName65,LastName65,customer65@example.com,North,6
66,FirstName66,LastName66,customer66@example.com,West,2
67,FirstName67,LastName67,customer67@example.com,South,5
68,FirstName68,LastName68,customer68@example.com,East,8
69,FirstName69,LastName69,customer69@example.com,South,8
70,FirstName70,LastName70,customer70@example.com,South,9
71,FirstName71,LastName71,customer71@example.com,East,4
72,FirstName72,LastName72,customer72@example.com,West,6
73,FirstName73,LastName73,customer73@example.com,East,6
